kb_id,title,category,service,os,problem,symptoms,root_cause,troubleshooting_steps,resolution_steps,tags,related_error_codes,kb_fulltext,references
KB1000001,VPN-Verbindung schlägt fehl,Network,VPN,Windows 10,Benutzer können keine VPN-Verbindung herstellen.,Verbindung bricht während des TLS-Handshakes ab | MFA-Bestätigung wird abgelehnt | Client-Log zeigt Zertifikats- oder TLS-Fehler,Abgelaufenes oder falsches Client-Zertifikat | Falsch verknüpftes MFA-Gerät | Veraltete TLS-Konfiguration am Gateway,Client-Zertifikate in der Zertifikatsverwaltung prüfen | MFA-Gerät im Identity-Portal neu registrieren | VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen,"Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.","network,vpn,windows10",CERT_EXPIRED,"Problem: Benutzer können keine VPN-Verbindung herstellen.
Symptome: Verbindung bricht während des TLS-Handshakes ab, MFA-Bestätigung wird abgelehnt, Client-Log zeigt Zertifikats- oder TLS-Fehler
Ursache: Abgelaufenes oder falsches Client-Zertifikat, Falsch verknüpftes MFA-Gerät, Veraltete TLS-Konfiguration am Gateway
Troubleshooting: Client-Zertifikate in der Zertifikatsverwaltung prüfen, MFA-Gerät im Identity-Portal neu registrieren, VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen
Lösung: Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.
Weiterführende Dokumentation: VPN-Client-Handbuch des Herstellers, TLS-Hardening-Leitfaden der internen IT-Security",VPN-Client-Handbuch des Herstellers | TLS-Hardening-Leitfaden der internen IT-Security
KB1000002,VPN-Verbindung schlägt fehl,Network,VPN,RHEL 8,Benutzer können keine VPN-Verbindung herstellen.,Verbindung bricht während des TLS-Handshakes ab | MFA-Bestätigung wird abgelehnt | Client-Log zeigt Zertifikats- oder TLS-Fehler,Abgelaufenes oder falsches Client-Zertifikat | Falsch verknüpftes MFA-Gerät | Veraltete TLS-Konfiguration am Gateway,Client-Zertifikate in der Zertifikatsverwaltung prüfen | MFA-Gerät im Identity-Portal neu registrieren | VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen,"Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.","network,vpn,rhel8",CERT_EXPIRED,"Problem: Benutzer können keine VPN-Verbindung herstellen.
Symptome: Verbindung bricht während des TLS-Handshakes ab, MFA-Bestätigung wird abgelehnt, Client-Log zeigt Zertifikats- oder TLS-Fehler
Ursache: Abgelaufenes oder falsches Client-Zertifikat, Falsch verknüpftes MFA-Gerät, Veraltete TLS-Konfiguration am Gateway
Troubleshooting: Client-Zertifikate in der Zertifikatsverwaltung prüfen, MFA-Gerät im Identity-Portal neu registrieren, VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen
Lösung: Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.
Weiterführende Dokumentation: VPN-Client-Handbuch des Herstellers, TLS-Hardening-Leitfaden der internen IT-Security",VPN-Client-Handbuch des Herstellers | TLS-Hardening-Leitfaden der internen IT-Security
KB1000003,VPN-Verbindung schlägt fehl,Network,VPN,macOS 12,Benutzer können keine VPN-Verbindung herstellen.,Verbindung bricht während des TLS-Handshakes ab | MFA-Bestätigung wird abgelehnt | Client-Log zeigt Zertifikats- oder TLS-Fehler,Abgelaufenes oder falsches Client-Zertifikat | Falsch verknüpftes MFA-Gerät | Veraltete TLS-Konfiguration am Gateway,Client-Zertifikate in der Zertifikatsverwaltung prüfen | MFA-Gerät im Identity-Portal neu registrieren | VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen,"Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.","network,vpn,macos12",CERT_EXPIRED,"Problem: Benutzer können keine VPN-Verbindung herstellen.
Symptome: Verbindung bricht während des TLS-Handshakes ab, MFA-Bestätigung wird abgelehnt, Client-Log zeigt Zertifikats- oder TLS-Fehler
Ursache: Abgelaufenes oder falsches Client-Zertifikat, Falsch verknüpftes MFA-Gerät, Veraltete TLS-Konfiguration am Gateway
Troubleshooting: Client-Zertifikate in der Zertifikatsverwaltung prüfen, MFA-Gerät im Identity-Portal neu registrieren, VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen
Lösung: Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.
Weiterführende Dokumentation: VPN-Client-Handbuch des Herstellers, TLS-Hardening-Leitfaden der internen IT-Security",VPN-Client-Handbuch des Herstellers | TLS-Hardening-Leitfaden der internen IT-Security
KB1000004,VPN-Verbindung schlägt fehl,Network,VPN,Ubuntu 22.04,Benutzer können keine VPN-Verbindung herstellen.,Verbindung bricht während des TLS-Handshakes ab | MFA-Bestätigung wird abgelehnt | Client-Log zeigt Zertifikats- oder TLS-Fehler,Abgelaufenes oder falsches Client-Zertifikat | Falsch verknüpftes MFA-Gerät | Veraltete TLS-Konfiguration am Gateway,Client-Zertifikate in der Zertifikatsverwaltung prüfen | MFA-Gerät im Identity-Portal neu registrieren | VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen,"Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.","network,vpn,ubuntu22.04",CERT_EXPIRED,"Problem: Benutzer können keine VPN-Verbindung herstellen.
Symptome: Verbindung bricht während des TLS-Handshakes ab, MFA-Bestätigung wird abgelehnt, Client-Log zeigt Zertifikats- oder TLS-Fehler
Ursache: Abgelaufenes oder falsches Client-Zertifikat, Falsch verknüpftes MFA-Gerät, Veraltete TLS-Konfiguration am Gateway
Troubleshooting: Client-Zertifikate in der Zertifikatsverwaltung prüfen, MFA-Gerät im Identity-Portal neu registrieren, VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen
Lösung: Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.
Weiterführende Dokumentation: VPN-Client-Handbuch des Herstellers, TLS-Hardening-Leitfaden der internen IT-Security",VPN-Client-Handbuch des Herstellers | TLS-Hardening-Leitfaden der internen IT-Security
KB1000005,VPN-Verbindung schlägt fehl,Network,VPN,Windows 11,Benutzer können keine VPN-Verbindung herstellen.,Verbindung bricht während des TLS-Handshakes ab | MFA-Bestätigung wird abgelehnt | Client-Log zeigt Zertifikats- oder TLS-Fehler,Abgelaufenes oder falsches Client-Zertifikat | Falsch verknüpftes MFA-Gerät | Veraltete TLS-Konfiguration am Gateway,Client-Zertifikate in der Zertifikatsverwaltung prüfen | MFA-Gerät im Identity-Portal neu registrieren | VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen,"Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.","network,vpn,windows11",CERT_EXPIRED,"Problem: Benutzer können keine VPN-Verbindung herstellen.
Symptome: Verbindung bricht während des TLS-Handshakes ab, MFA-Bestätigung wird abgelehnt, Client-Log zeigt Zertifikats- oder TLS-Fehler
Ursache: Abgelaufenes oder falsches Client-Zertifikat, Falsch verknüpftes MFA-Gerät, Veraltete TLS-Konfiguration am Gateway
Troubleshooting: Client-Zertifikate in der Zertifikatsverwaltung prüfen, MFA-Gerät im Identity-Portal neu registrieren, VPN-Client und Gateway-Konfiguration auf aktuelle TLS-Version prüfen
Lösung: Zertifikat erneuert, MFA-Gerät neu verknüpft und TLS-Konfiguration aktualisiert; VPN-Verbindung stabil.
Weiterführende Dokumentation: VPN-Client-Handbuch des Herstellers, TLS-Hardening-Leitfaden der internen IT-Security",VPN-Client-Handbuch des Herstellers | TLS-Hardening-Leitfaden der internen IT-Security
KB1000006,Netzwerkdrucker offline / Fehler 0x00000709,Hardware,Printer,macOS 12,Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.,Fehler 0x00000709 beim Drucken | Drucker erscheint als offline oder nicht bereit | Druckspooler-Dienst stoppt unerwartet,Veralteter oder defekter Druckertreiber | Korrupte Druckwarteschlange | Fehlende Abhängigkeiten des Spooler-Dienstes,Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren | Aktuellen Treiber vom Hersteller installieren | Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen,"Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.","hardware,printer,macos12",SPOOLER_ERROR_1068,"Problem: Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.
Symptome: Fehler 0x00000709 beim Drucken, Drucker erscheint als offline oder nicht bereit, Druckspooler-Dienst stoppt unerwartet
Ursache: Veralteter oder defekter Druckertreiber, Korrupte Druckwarteschlange, Fehlende Abhängigkeiten des Spooler-Dienstes
Troubleshooting: Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren, Aktuellen Treiber vom Hersteller installieren, Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen
Lösung: Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.
Weiterführende Dokumentation: Microsoft-Dokumentation zum Druckspooler, Herstellerhandbuch des Druckers",Microsoft-Dokumentation zum Druckspooler | Herstellerhandbuch des Druckers
KB1000007,Netzwerkdrucker offline / Fehler 0x00000709,Hardware,Printer,Ubuntu 22.04,Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.,Fehler 0x00000709 beim Drucken | Drucker erscheint als offline oder nicht bereit | Druckspooler-Dienst stoppt unerwartet,Veralteter oder defekter Druckertreiber | Korrupte Druckwarteschlange | Fehlende Abhängigkeiten des Spooler-Dienstes,Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren | Aktuellen Treiber vom Hersteller installieren | Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen,"Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.","hardware,printer,ubuntu22.04",SPOOLER_ERROR_1068,"Problem: Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.
Symptome: Fehler 0x00000709 beim Drucken, Drucker erscheint als offline oder nicht bereit, Druckspooler-Dienst stoppt unerwartet
Ursache: Veralteter oder defekter Druckertreiber, Korrupte Druckwarteschlange, Fehlende Abhängigkeiten des Spooler-Dienstes
Troubleshooting: Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren, Aktuellen Treiber vom Hersteller installieren, Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen
Lösung: Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.
Weiterführende Dokumentation: Microsoft-Dokumentation zum Druckspooler, Herstellerhandbuch des Druckers",Microsoft-Dokumentation zum Druckspooler | Herstellerhandbuch des Druckers
KB1000008,Netzwerkdrucker offline / Fehler 0x00000709,Hardware,Printer,RHEL 8,Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.,Fehler 0x00000709 beim Drucken | Drucker erscheint als offline oder nicht bereit | Druckspooler-Dienst stoppt unerwartet,Veralteter oder defekter Druckertreiber | Korrupte Druckwarteschlange | Fehlende Abhängigkeiten des Spooler-Dienstes,Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren | Aktuellen Treiber vom Hersteller installieren | Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen,"Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.","hardware,printer,rhel8",0x00000709,"Problem: Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.
Symptome: Fehler 0x00000709 beim Drucken, Drucker erscheint als offline oder nicht bereit, Druckspooler-Dienst stoppt unerwartet
Ursache: Veralteter oder defekter Druckertreiber, Korrupte Druckwarteschlange, Fehlende Abhängigkeiten des Spooler-Dienstes
Troubleshooting: Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren, Aktuellen Treiber vom Hersteller installieren, Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen
Lösung: Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.
Weiterführende Dokumentation: Microsoft-Dokumentation zum Druckspooler, Herstellerhandbuch des Druckers",Microsoft-Dokumentation zum Druckspooler | Herstellerhandbuch des Druckers
KB1000009,Netzwerkdrucker offline / Fehler 0x00000709,Hardware,Printer,RHEL 8,Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.,Fehler 0x00000709 beim Drucken | Drucker erscheint als offline oder nicht bereit | Druckspooler-Dienst stoppt unerwartet,Veralteter oder defekter Druckertreiber | Korrupte Druckwarteschlange | Fehlende Abhängigkeiten des Spooler-Dienstes,Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren | Aktuellen Treiber vom Hersteller installieren | Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen,"Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.","hardware,printer,rhel8",SPOOLER_ERROR_1068,"Problem: Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.
Symptome: Fehler 0x00000709 beim Drucken, Drucker erscheint als offline oder nicht bereit, Druckspooler-Dienst stoppt unerwartet
Ursache: Veralteter oder defekter Druckertreiber, Korrupte Druckwarteschlange, Fehlende Abhängigkeiten des Spooler-Dienstes
Troubleshooting: Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren, Aktuellen Treiber vom Hersteller installieren, Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen
Lösung: Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.
Weiterführende Dokumentation: Microsoft-Dokumentation zum Druckspooler, Herstellerhandbuch des Druckers",Microsoft-Dokumentation zum Druckspooler | Herstellerhandbuch des Druckers
KB1000010,Netzwerkdrucker offline / Fehler 0x00000709,Hardware,Printer,macOS 12,Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.,Fehler 0x00000709 beim Drucken | Drucker erscheint als offline oder nicht bereit | Druckspooler-Dienst stoppt unerwartet,Veralteter oder defekter Druckertreiber | Korrupte Druckwarteschlange | Fehlende Abhängigkeiten des Spooler-Dienstes,Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren | Aktuellen Treiber vom Hersteller installieren | Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen,"Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.","hardware,printer,macos12",0x00000709,"Problem: Benutzer können nicht auf einen freigegebenen Netzwerkdrucker drucken.
Symptome: Fehler 0x00000709 beim Drucken, Drucker erscheint als offline oder nicht bereit, Druckspooler-Dienst stoppt unerwartet
Ursache: Veralteter oder defekter Druckertreiber, Korrupte Druckwarteschlange, Fehlende Abhängigkeiten des Spooler-Dienstes
Troubleshooting: Druckspooler-Dienst stoppen und Spool-Verzeichnis leeren, Aktuellen Treiber vom Hersteller installieren, Abhängigkeiten des Spooler-Dienstes in der Diensteverwaltung prüfen
Lösung: Druckertreiber aktualisiert, Warteschlange bereinigt und Spooler-Dienst neu gestartet; Druckfunktion wiederhergestellt.
Weiterführende Dokumentation: Microsoft-Dokumentation zum Druckspooler, Herstellerhandbuch des Druckers",Microsoft-Dokumentation zum Druckspooler | Herstellerhandbuch des Druckers
