prompt:test_casetest_case_id;ticket_title;ticket_description;category;service;issue_type;difficulty_level;gold_kb_id;gold_kb_fulltext;has_golden_solution;Stichprobe;KB-Validierung;custom_solution ;Column1;_1
TC-P-01;Monitor-Reaktivierung nach Stromausfall im Kontrollraum;Nach einem lokalen Stromausfall bleibt der Hauptmonitor der Überwachungsstation schwarz, obwohl die Workstation bereits neu gestartet wurde. Ein Hard-Reset des Monitors über die Stromzufuhr scheint gemäß Dokumentation notwendig.;Hardware;Monitor;ConnectivityIssue;low;KB-8B842A26;"KB-ID: KB-8B842A26
Titel: Monitor-Hardware-Fehler: Bildschirm schwarz bleibt nach Neustart
Kategorie/Service: Hardware / Monitor
Issue-Typ: HardwareFailure
Problem: Der Monitorbildschirm bleibt schwarz, wenn das System neu gestartet wird. Dies kann auf ein Hardwarefehler oder eine Einstellungsoption zurückzuführen sein.
Symptome: Bildschirm schwarz nach Neustart | Keine Bildschirmeigenschaften angezeigt werden | Monitorstabilität ist beeinträchtigt | Fehlermeldung auf dem Bildschirm | Sporadisches Verhalten des Bildschirms
Ursache: Hardwarefehler am Monitor | Einstellungsoptionen falsch eingestellt | Bildschirmkabel defekt oder falsch angeschlossen | Monitordefekt oder Fehlfunktion
Lösungsschritte: Überprüfen und reparieren des Bildschirmkabels | Einstellungsoptionen überprüfen und korrigieren | Bildschirm neu starten und System neu booten | Monitor neu anschließen oder ersetzen
Validierung: Überprüfen, ob der Monitorbildschirm nach dem Start neu angezeigt wird und keine Fehlermeldung auftritt.";WAHR;x;x; ;;
TC-P-02;Scanner-Initialisierungsfehler in der Poststelle;Der Netzwerk-Scanner in der Poststelle wird nach dem nächtlichen Wartungsfenster nicht mehr im Netz erkannt. Die Power-LED blinkt orange, was auf einen hängenden Initialisierungsdienst hindeutet.;Hardware;Scanner;ServiceUnavailable;low;KB-B7D4BB5B;"KB-ID: KB-B7D4BB5B
Titel: Scanner-Ausfall bei Windows-Server
Kategorie/Service: Hardware / Scanner
Issue-Typ: ServiceUnavailable
Problem: Der Scanner auf Windows-Servern erleidet periodisch Ausfälle und kann nicht erreichbar gemacht werden.
Symptome: Fehlermeldungen beim Starten des Scanners | Kein Druckerzugriff möglich | Schwierigkeiten bei der Verbindung zum Scanner
Ursache: Fehlerhafte Hardware oder Software-Komponente | Veraltetes Betriebssystem oder fehlende Sicherheitspatches | Konflikte mit anderen Anwendungen oder Diensten | Hardware-Fehler oder -Feuchtigkeit
Lösungsschritte: Scanner neu starten und Konnektivität prüfen | Hardware-Test durchführen, um Fehler zu identifizieren | Sicherheitspatches auf dem Betriebssystem anwenden | Konflikte mit anderen Anwendungen oder Diensten lösen
Validierung: Das Problem wird überprüft, indem der Scanner nach einem Neu-Start erreichbar gemacht und die Konnektivität überprüft wird.";WAHR;x;x; ;;
TC-P-03;Azure AD Gruppenberechtigung für DevOps-Repository fehlt;"Ein neuer Entwickler kann keine Code-Änderungen in das ""Core-Banking"" Repository pushen. Die Zuweisung zur Azure AD Gruppe 'DevOps-Write' scheint nicht korrekt an die Ressourcen-Ebene propagiert worden zu sein.";Access;Azure AD;PermissionDenied;mid;KB-7339913E;"KB-ID: KB-7339913E
Titel: Unzureichende Berechtigungen bei Azure AD-Anmeldung
Kategorie/Service: Access / Azure AD
Issue-Typ: PermissionDenied
Problem: Einige Benutzer berichten, dass sie aufgrund mangelnder Berechtigungen nicht angemeldet werden können. Dies kann durch verschiedene Faktoren wie mangelnde Administratorrechte oder fehlende Zugriffsrechte verursacht werden.
Symptome: Fehlermeldung bei der Anmeldung | Nicht genügend Rechte, um bestimmte Aktionen auszuführen | Unfähigkeit, auf bestimmte Ressourcen zuzugreifen | 403-Fehlermeldung bei der Anmeldung
Ursache: Mangelnde Administratorrechte | Fehlende Zugriffsrechte | Misconfiguration des Azure AD-Systems | Unzureichende Berechtigungen für den Benutzer
Lösungsschritte: Überprüfen der Berechtigungen des Benutzers und Aktualisieren der Zugriffsrechte im Azure AD. | Erteilen der Benutzergruppe die erforderlichen Zugriffsrechte. | Überprüfen der Misconfiguration des Azure AD-Systems und korrigieren. | Aktualisieren der Berechtigungen für den Benutzer.
Validierung: Das Problem wird überprüft, indem man die Berechtigungen des Benutzers überprüft und sicherstellt, dass die erforderlichen Zugriffsrechte vorhanden sind.";WAHR;x;x; ;;
TC-P-04;SharePoint-Dokumentenbibliothek: Schreibzugriff verweigert für Marketing;Mitglieder des Marketing-Teams können Dokumente in der Bibliothek 'Kampagnen_2026' nur lesen, obwohl sie der Gruppe 'Content-Editoren' mit Vollzugriff angehören.;Web;SharePoint;PermissionDenied;mid;KB-9914B298;"KB-ID: KB-9914B298
Titel: SharePoint PermissionError: Berechtigungsfehler bei Zugriff auf SharePoint-Ressourcen
Kategorie/Service: Web / SharePoint
Issue-Typ: PermissionDenied
Fehlercodes: 403 Forbidden
Problem: Ein Benutzer erhält bei einem Zugriff auf SharePoint-Ressourcen eine Berechtigungsfehler (403 Forbidden) und kann diese nicht bearbeiten oder lesen.
Symptome: Fehlermeldung: 'Gelöscht werden Sie, weil Sie keine Berechtigung haben', | Benutzer versucht Zugriff auf geschützte Ressourcen zu erhalten, aber wird abgelehnt. | Benutzer kann bestimmte Aktionen nicht durchführen, obwohl er die notwendigen Berechtigungen hat.
Ursache: Falsche oder fehlende Berechtigungen für den Benutzer. | Veraltetes oder fehlerhaftes SharePoint-Setup. | Konflikte zwischen Berechtigungen und SharePoint-Sicherheitskonfiguration.
Lösungsschritte: Überprüfen der aktiven Berechtigungen des Benutzers in SharePoint. | Überprüfen der SharePoint-Sicherheitskonfiguration und korrigieren fehlerhafte Einstellungen. | Aktualisieren oder installieren von SharePoint-Updates, um Veraltetigkeit zu entfernen.
Validierung: Das Problem ist gelöst, wenn der Benutzer die Berechtigungen überprüft und gegebenenfalls ändert oder wenn das SharePoint-Setup korrigiert wird.";WAHR;x;x; ;;
TC-P-05;Deployment-Stagnation im Kubernetes-Produktionscluster;Der automatisierte Rollout der neuen 'PayGate'-Microservices stagniert im Status 'Pending'. Die Events deuten auf ein Ressourcen-Limit-Problem beim Deployment-Scheduler hin.;DevOps;Kubernetes;Timeout;mid;KB-FDC092AC;"KB-ID: KB-FDC092AC
Titel: Timeouts bei Kubernetes-Verbindungen
Kategorie/Service: DevOps / Kubernetes
Issue-Typ: Timeout
Problem: Ein Timeout bei der Verbindung zu einem Kubernetes-Cluster kann auf verschiedene Weise auftreten, darunter lange API-Aufrufe, fehlende Antworten oder unerwartete Fehlermeldungen. Dies kann die Leistung und Verfügbarkeit von Anwendungen erheblich beeinträchtigen.
Symptome: Lange API-Aufrufe | Fehlende Antworten | Unerwartete Fehlermeldungen
Ursache: Konflikte zwischen Kubernetes-Konfiguration und Netzwerkumgebungen | Fehlerhafte Implementierung von APIs oder Client-Code | Überlastung des Kubernetes-Klusters durch große Anforderungen | Netzwerkschwierigkeiten oder -fehler
Lösungsschritte: Überprüfen der Kubernetes-Konfiguration und Netzwerkumgebung, um Konflikte zu finden. | Fehlerhafte Implementierung von APIs oder Client-Code überprüfen und korrigieren. | Kubernetes-Kluster optimieren, um Überlastung zu vermeiden. | Netzwerkschwierigkeiten oder -fehler identifizieren und beheben.
Validierung: Das Problem wird durch Überprüfung der Lösungsschritte bestätigt, indem die API-Aufrufe erfolgreich abgeschlossen werden und keine Fehlermeldungen mehr auftreten.";WAHR;x;x; ;;
TC-P-06;Passwort-Self-Service: Fehler bei der Verifizierung;Ein Mitarbeiter versucht sein abgelaufenes Passwort über das interne Portal zurückzusetzen, erhält aber nach Eingabe des Verifizierungscodes eine Fehlermeldung 'Service-Timeout'.;Access;Password Reset;AuthenticationError;low;KB-39B6B6A0;"KB-ID: KB-39B6B6A0
Titel: Fehler beim Passwortreset: Verbindungsschwierigkeiten und Timeout
Kategorie/Service: Access / Password Reset
Problem: Bei der Anmeldung mit dem neuen Passwort treten Verbindungsschwierigkeiten und ein Timeout auf. Der Reset-Prompt-Zeitenplan ist zu kurz.
Symptome: Fehler beim Passwortwechsel | Verbindungsfehler bei der Anmeldung mit dem neuen Passwort | Timeout beim Passwort-Reset-Prozess | System meldet einen Fehler
Ursache: Probleme mit den Netzwerkprovisioningseinstellungen | Fehlerhafte Systemkonfigurationen | Durchfehltige Anmeldung mit dem neuen Passwort
Lösungsschritte: Überprüfen und Aktualisieren der Proxy-Einstellungen. | Erhöhung des Reset-Prompt-Zeitraums in den Systemeinstellungen. | Überprüfen der Netzwerkprovisioningseinstellungen und korrigieren bei Bedarf. | Prüfen der Systemkonfigurationen und korrigieren bei Bedarf. | Durchführen einer Manuelle Anmeldung mit dem neuen Passwort und Überprüfen der Anmeldedaten.
Validierung: Überprüfen, ob die Lösung erfolgreich durchgeführt wurde, indem man das neue Passwort einsetzt und die Verbindung herstellt.";WAHR;x;x; ;;
TC-P-07;VPN-Einwahl über Proxy-Server aus dem Home-Office schlägt fehl;Beim Aufbau der VPN-Verbindung über den regionalen Proxy-Endpunkt bricht der Client mit der Meldung 'ERR_PROXY_CONNECTION_FAILED' ab, obwohl die Anmeldedaten korrekt sind.;Network;VPN;ConnectionFailure;mid;KB-6C29E05C;"KB-ID: KB-6C29E05C
Titel: VPN-Proxy-Verbindung fehlert
Kategorie/Service: Network / VPN
Issue-Typ: ConnectionFailure
Fehlercodes: ERR_PROXY_CONNECTION_FAILED
Problem: Die VPN-Proxy-Verbindung kann nicht hergestellt werden und führt zu einem fehlenden Zugang zum Internet.
Symptome: Fehlermeldung: 'Proxy Connection Failed' | Zeitübergang beim Anmelden auf das Netzwerk | Verbindungsausfall bei der VPN-Anwendung
Ursache: Probleme mit dem VPN-Server oder -Client | Konflikte zwischen den Proxy-Einstellungen und dem Betriebssystem | Fehlende Konfiguration des VPN-Proxies
Lösungsschritte: Überprüfen der VPN-Verbindung und die Netzwerkkonfiguration | Neu konfigurieren der VPN-Proxys | Überprüfen der Betriebssystemeinstellungen und deren Übereinstimmung mit den VPN-Einstellungen
Validierung: Die Verbindung wird überprüft, indem man die VPN-Anwendung erneut öffnet und sich verbindet.";WAHR;x;x; ;;
TC-P-08;Anzeigefehler im Chrome-Browser bei internen Dashboards;Interne Dashboards der Personalabteilung werden fragmentiert und mit veralteten CSS-Styles dargestellt. Ein Löschen der temporären Browser-Dateien wird als Standardbehebung empfohlen.;Software;Browser;ClientBug;low;KB-78AE164E;"KB-ID: KB-78AE164E
Titel: Browser-Sitzungsunterbrechung und Serviceunverfügbarkeit bei CRM-System und Website
Kategorie/Service: Software / Browser
Issue-Typ: ServiceUnavailable
Problem: Ein technisches Problem mit dem Browser, das zu häufigen Sitzungsabbrüchen und Serviceunverfügbarkeiten führt, insbesondere bei CRM-System und Unternehmenswebsite.
Symptome: Fehler beim Laden der Website oder CRM-System | Sitzungsabbrüche beim Browsen | Serviceunverfügbarkeit beim CRM-System oder bei bestimmten Webseiten
Ursache: Fehlende Aktualisierung des Browsers | Kompatibilitätsprobleme mit der CRM-Software | Server-Sicherheitslücken oder -fehler
Lösungsschritte: Aktualisieren Sie Ihren Browser auf den neuesten Stand. | Überprüfen und aktualisieren Sie die CRM-Software, um sicherzustellen, dass sie kompatibel mit Ihrem Browser ist. | Überprüfen Sie die Server-Sicherheitslücken oder -fehler und beheben Sie diese | Lösen Sie eventuelle Server-Probleme durch Wartung oder Neuanstart des Servers.
Validierung: Überprüfen Sie, ob das Problem wirklich gelöst ist, indem Sie die Lösungsschritte ausführen und prüfen, ob die Serviceunverfügbarkeit oder Sitzungsabbrüche verschwinden.";WAHR;x;x; ;;
TC-P-09;SIEM: Massive Log-Verzögerung bei nächtlichen Backup-Jobs;Während der nächtlichen Backup-Fenster steigen die Timeouts bei der Log-Ingestion im SIEM massiv an. Die Puffergrößen für API-Abfragen müssen gemäß SOC-Richtlinie angepasst werden.;Security;SIEM;Timeout;high;KB-05A77485;"KB-ID: KB-05A77485
Titel: Timeout im SIEM-Dienst
Kategorie/Service: Security / SIEM
Issue-Typ: Timeout
Problem: Im SIEM-Dienst treten häufig Timeouts auf, was die Dienstverfügbarkeit beeinträchtigt.
Symptome: Timeout-Fehler beim SIEM-Dienstaufruf | Verbindung zu dem Remote-Server Timeout | Datenbankzugriff wird aufgrund eines Timeouts abgelehnt | SIEM-Laden dauert zu lange, was das Einloggen verhindert
Ursache: Überlastung des SIEM-Dienstes durch häufige Anfragen | Fehlerhafte Netzwerkkonfiguration | Datenbankverbindungsparameter fehlerhaft eingestellt | SIEM-Software veraltet oder nicht korrekt installiert
Lösungsschritte: Überprüfen der SIEM-Dienstkonfiguration und Anpassen der Parameter | Verifizieren der Netzwerkkonfiguration und des Remote-Servers | Datenbankverbindungsparameter überprüfen und anpassen | SIEM-Software aktualisieren oder korrekt installieren | Durchführen eines SIEM-Patch-Updates, falls erforderlich
Validierung: Das Problem wird überprüft, indem die SIEM-Dienstkonfiguration und die Netzwerkkonfiguration überprüft werden. Die Datenbankverbindungsparameter werden auch überprüft und gegebenenfalls angepasst.";WAHR;x;x; ;;
TC-P-10;Authentifizierungsfehler bei Docker-Push in die lokale Registry;Entwickler erhalten beim Versuch, Container-Images in die On-Premise Registry zu laden, einen 401-Fehler. Das Auth-Token im Docker-Client scheint abgelaufen oder ungültig zu sein.;DevOps;Docker Registry;PermissionDenied;mid;KB-3A22BE9F;"KB-ID: KB-3A22BE9F
Titel: Docker Registry PermissionDenied-Problemlösung
Kategorie/Service: DevOps / Docker Registry
Issue-Typ: PermissionDenied
Fehlercodes: PermissionDenied
Problem: Docker Registry Zugriffsprobleme aufgrund fehlender Berechtigungen.
Symptome: Fehlermeldung 'PermissionDenied' beim Zugriff auf das Repository. | Benutzer hat keine Berechtigungen, um den Docker Registry zu nutzen. | Benutzerfehler, kein Zugriff auf den Docker-Registrär aufgrund von Berechtigungsproblemen.
Ursache: Fehlende oder ungültige Benutzerberechtigungen für den Docker Registry. | Konflikte zwischen Benutzern und Registrierungskonfigurationen. | Ungültige Berechtigungsbereiche im Docker-Registry.
Lösungsschritte: Überprüfen der Benutzerberechtigungen und aktualisieren Sie die Berechtigungen für den Benutzer. | Überprüfen der Registrierungskonfigurationen und aktualisieren Sie die Berechtigungsbereiche im Docker-Registry. | Konflikte zwischen Benutzern und Registrierungskonfigurationen lösen, indem Sie die Berechtigungen neu konfigurieren.
Validierung: Überprüfen der Benutzerberechtigungen nach Lösung.";WAHR;x;x; ;;
TC-P-11;Tastatur-Eingabeverzögerung am Fertigungs-Terminal;Am Steuerungsterminal 4 der Produktion werden Tastaturanschläge erst mit mehreren Sekunden Verzögerung verarbeitet. Ein Wechsel des USB-Ports am Terminal-PC wird angefragt.;Hardware;Keyboard;HardwareFailure;low;KB-7A02D2BB;"KB-ID: KB-7A02D2BB
Titel: Fehler beim Start des Keyboards auf Windows Server 2016 und anderen Betriebssystemen
Kategorie/Service: Hardware / Keyboard
Issue-Typ: HardwareFailure
Problem: Das Keyboard funktioniert nicht oder reagiert nicht auf Eingaben beim Start des Systems oder unter bestimmten Bedingungen.
Symptome: Keine Tasten drücken können | Fehlermeldungen bei der Anmeldung am Computer | Tastaturanschläge nicht registriert werden | Keine Eingabe über die Tastatur möglich
Ursache: Defekte oder defekterne Hardware | USB-Verbindungsschwierigkeiten | Betriebssystemfehler oder -konflikte
Lösungsschritte: Überprüfen Sie die USB-Verbindung und den USB-Anschluss. | Ersetzen Sie das defekte oder defekterne Keyboard durch ein anderes. | Überprüfen Sie das Betriebssystem auf Fehler oder Konflikte und beheben Sie sie. | Überprüfen Sie die Hardware-Kompatibilität zwischen dem Keyboard und dem System.
Validierung: Das Problem wird überprüft, indem das defekte oder defekterne Keyboard durch ein anderes ersetzt wird und die USB-Verbindung und das Betriebssystem auf Fehler oder Konflikte überprüft werden.";WAHR;x;x; ;;
TC-P-12;SQL Server: Windows-Authentifizierung verweigert Zugriff;Nach der Migration auf einen neuen Domain Controller akzeptiert der MSSQL-Cluster keine Verbindungen mehr, die über die integrierte Windows-Authentifizierung initiiert werden.;Database;MSSQL;AuthenticationError;low;KB-0FC5268B;"KB-ID: KB-0FC5268B
Titel: MSSQL AuthenticationError mit Fehlercode 0x80070005
Kategorie/Service: Database / MSSQL
Issue-Typ: AuthenticationError
Fehlercodes: 0x80070005
Problem: MSSQL-Anmeldung fehlschlägt bei der Authentifizierung mit Fehlercode 0x80070005.
Symptome: Fehlermeldung beim Anmelden in MSSQL | Unberechtigter Zugriff auf MSSQL-Datenbank | Kann nicht über SSL anmelden | Keine Datenbankverbindung möglich
Ursache: Berechtigungsschwierigkeiten für den Benutzer | Fehlerhafte Konfiguration der Authentifizierungseinstellungen | Veraltetes oder fehlerhaftes SSL-Zertifikat | Korrupte Datenbank-Dateien
Lösungsschritte: Überprüfen Sie die Berechtigungen des Benutzers und aktualisieren Sie bei Bedarf. | Überprüfen Sie die Authentifizierungseinstellungen und korrigieren Sie Fehler. | Überprüfen Sie das SSL-Zertifikat und aktualisieren Sie bei Bedarf. | Reinigen Sie die Datenbank-Dateien und überprüfen Sie die Konnektivität.
Validierung: Überprüfen Sie, ob der Benutzer nach den korrekten Berechtigungen und Authentifizierungseinstellungen angemeldet werden kann.";WAHR;x;x; ;;
TC-P-13;SSO-Claim-Mapping-Fehler in der neuen Finanz-App;Beim Starten der Finanz-Applikation via SSO werden die Kostenstellen-Attribute des Benutzers nicht korrekt übergeben, was zu einer Fehlermeldung innerhalb der Anwendung führt.;Access;SSO;PermissionDenied;mid;KB-7CF874D5;"KB-ID: KB-7CF874D5
Titel: SSO-Berechtigungsfehler mit PermissionDenied
Kategorie/Service: Access / SSO
Issue-Typ: PermissionDenied
Fehlercodes: PermissionDenied
Problem: Ein Benutzer erhält beim SSO-Anmeldeversuch eine PermissionDenied-Fehlermeldung und kann nicht auf Ressourcen zugreifen.
Symptome: Fehlermeldung: 'PermissionDenied' | Benutzer kann nicht auf Ressourcen zugreifen | SSO-Anmeldeprozess ist blockiert | Berechtigungsfehler beim Benutzerauftritt
Ursache: Unzureichende Berechtigungen für SSO | Fehlerhafte Konfiguration des SSO-Systems | Benutzerberechtigungen nicht korrekt gesetzt | Sicherheitsrichtlinien verletzt
Lösungsschritte: Überprüfen und korrigieren der Benutzerberechtigung für SSO | Fehlerhafte Konfiguration des SSO-Systems überprüfen und korrigieren | Benutzerberechtigungen neu setzen | Sicherheitsrichtlinien überprüfen und anpassen
Validierung: Überprüfen, ob die Berechtigung für SSO korrekt gesetzt ist und der Benutzerauftritt erfolgreich abgeschlossen wird.";WAHR;x;x; ;;
